"MP","period","OM","risk","catch","SSB","Fbar","ICV"
"MSY1","long term","R: +20%",0.011,0.982920854372054,1.07316354828786,0.913700945303394,0.102250201066717
"MSY1","long term","R: -20%",0.013,1.01503497266489,1.01842548871324,0.980326783269344,0.10991306648623
"MSY1","long term","R: h -20%",0.029,0.996436190350807,0.906576784416877,1.11103519982635,0.107591352839144
"MSY1","long term","R: failure",0.058,0.885322045241591,0.932722111098017,0.935388681807229,0.125881586901412
"MSY1","long term","Catch: +10%",0.03,0.98851244354741,0.955697119295474,1.04062739521018,0.111733297791621
"MSY1","long term","Catch: -10%",0.005,0.990927721798893,1.18046008279734,0.826602436367258,0.0976829757830164
"MSY1","long term","Uncertainty: index +20%",0.015,0.989428588661349,1.05304684374969,0.934900912110862,0.111211304667596
"MSY1","short term","Reference set",0.126571428571429,0.864150950614644,1.05753672960616,0.81210271971989,0.114455612953846
"MSY1","short term","Baseline",0.011,0.873662112119567,0.993739290288255,0.889154938900545,0.11507452495533
"MSY1","short term","Catch: no discards",0.005,0.888776390951489,1.59677273220738,0.501825710328837,0.0902618828046197
"MSY1","short term","Catch: 100% discards",0.025,0.812299170189254,0.834222169847677,1.01928485602694,0.119976246709245
"MSY1","short term","Catch: no migration",0.008,0.874278272918753,1.13566849779541,0.757090385577722,0.121454650564793
"MSY1","short term","M: -50%",0.872,0.741402630458882,0.484499163893423,1.67808201891615,0.117553808489982
"MSY1","short term","M: +50%",0,0.896270728257602,1.62820520110653,0.505771693344469,0.115411985072847
"MSY1","short term","M: Gislason",0.027,0.897631144512388,0.981662656269225,0.942044594798564,0.116523580344426
"MSY1","short term","R: no AC",0.002,0.87581270186599,1.05396653791889,0.826147645303377,0.111372488071071
"MSY1","short term","R: +20%",0.012,0.780774262967105,0.919426356405153,0.85915507591044,0.120042873917514
"MSY1","short term","R: -20%",0.011,1.02469176222884,1.08766675477594,0.946873802306289,0.113576389716315
"MSY1","short term","R: h -20%",0.028,0.935102521960228,0.904594747882001,1.06634508244659,0.113549742442225
"MSY1","short term","R: failure",0.759,0.537189761667828,0.543173613331973,0.881322897171459,0.204773947022711
"MSY1","short term","Catch: +10%",0.031,0.92255054516693,0.932317649199574,1.01718601750462,0.0913922020421637
"MSY1","short term","Catch: -10%",0.004,0.81777771497088,1.05789834349033,0.767782095480458,0.113811460515909
"MSY1","short term","Uncertainty: index +20%",0.013,0.873662106645433,0.99400496868408,0.888822954297752,0.122768214910292
"MSY2","all years","Reference set",0.126571428571429,0.912103858052467,1.16860228995602,0.70700794953853,0.140212931261677
"MSY2","all years","Baseline",0.003,0.955281638845849,1.10146792886956,0.804223684989047,0.136288995896934
"MSY2","all years","Catch: no discards",0.002,0.935431322521274,1.68957500956117,0.459825133093978,0.141181760372013
"MSY2","all years","Catch: 100% discards",0.011,0.924911483964468,0.965949616931507,0.911203960738909,0.135443594661528
"MSY2","all years","Catch: no migration",0.001,0.913224627375189,1.30331722833496,0.646919207342914,0.152741999719982
"MSY2","all years","M: -50%",0.872,0.87249300379837,0.553805339129145,1.61632713417843,0.124548737624957
"MSY2","all years","M: +50%",0,0.833653273502864,1.72718868948885,0.424764799924189,0.151546427946668
"MSY2","all years","M: Gislason",0.005,0.951018480728652,1.07500938616059,0.823751792244247,0.142671424564327
"MSY2","all years","R: no AC",0.002,0.953823566955307,1.16042395821457,0.765963610205586,0.130802763504864
"MSY2","all years","R: +20%",0.008,0.898127822814704,1.04862241954701,0.80695669240013,0.131610133903264
"MSY2","all years","R: -20%",0.001,0.968897030487821,1.17010325134212,0.800782917103111,0.145892104152917
"MSY2","all years","R: h -20%",0.005,0.969071924884832,0.993443525179257,0.933340885960277,0.139811685127301
"MSY2","all years","R: failure",0.352,0.637132045728898,0.827430677210038,0.724427601292455,0.193597553260928
"MSY2","all years","Catch: +10%",0.008,0.969273561743672,1.02896218437268,0.892180630888447,0.1453828689324
"MSY2","all years","Catch: -10%",0.002,0.920468414298142,1.186280285181,0.713600746226084,0.128562599330627
"MSY2","all years","Uncertainty: index +20%",0.004,0.952783085377587,1.10063568684444,0.80410417808898,0.147352509171669
"MSY2","long term","Reference set",0.044,0.98936130836875,1.1915166732268,0.73200255489314,0.123772107061811
"MSY2","long term","Baseline",0.002,1.02357553490302,1.13882173875397,0.841545548407696,0.121272809841446
"MSY2","long term","Catch: no discards",0.001,0.971977683473988,1.69144563495032,0.476269437034926,0.128904868977565
"MSY2","long term","Catch: 100% discards",0.002,1.02427530472369,1.03234498482336,0.95144028327384,0.115593623587793
"MSY2","long term","Catch: no migration",0.001,1.00902368142412,1.34442068604135,0.681177886376796,0.135199661679232
"MSY2","long term","M: -50%",0.297,0.959062118289209,0.578833710012336,1.75187021484261,0.104130471440763
"MSY2","long term","M: +50%",0,0.897205316259074,1.74137085816031,0.428815876049222,0.138283522396939
"MSY2","long term","M: Gislason",0.005,1.03336166031569,1.09882789063122,0.854586731140769,0.128006904476653
"MSY2","long term","R: no AC",0,1.00288194603144,1.19024043328805,0.801107261585696,0.115237626267442
"MSY2","long term","R: +20%",0.002,0.991739333152521,1.13210810687738,0.848135634922557,0.111547109492367
"MSY2","long term","R: -20%",0.001,1.00484171630695,1.1541945578732,0.822936524463487,0.135789165949876
"MSY2","long term","R: h -20%",0.005,1.04172874445726,1.00873022293145,0.969022198199861,0.126029374328356
"MSY2","long term","R: failure",0.006,0.951950225018224,1.05480291408921,0.830686899607392,0.146409302035652
"MSY2","long term","Catch: +10%",0.005,1.03065477899945,1.04740595918216,0.916434078990658,0.133104733750136
"MSY2","long term","Catch: -10%",0.001,1.0032955799682,1.25606195923591,0.752617206388719,0.110046965478355
"MSY2","long term","Uncertainty: index +20%",0.004,1.02107697770013,1.13926938331793,0.839439708124164,0.130808187998669
"MSY2","short term","Reference set",0.126571428571429,0.82243820736881,1.14903336870505,0.683178257996008,0.162035668053232
"MSY2","short term","Baseline",0.003,0.866999293364863,1.06672751444182,0.768281183856807,0.156588720309199
"MSY2","short term","Catch: no discards",0.002,0.892664304911954,1.68828795052324,0.441505217154312,0.156839810622841
"MSY2","short term","Catch: 100% discards",0.011,0.789114280837715,0.905564932467444,0.865145322794901,0.162963086151344
"MSY2","short term","Catch: no migration",0.001,0.805338766010031,1.26009775274092,0.609597629233989,0.174976495483071
"MSY2","short term","M: -50%",0.872,0.779122030339587,0.531072586854297,1.48164971724069,0.153895910100039
"MSY2","short term","M: +50%",0,0.7841200636164,1.71713121543947,0.420939110876244,0.167990824320081
"MSY2","short term","M: Gislason",0.004,0.856911989771704,1.05555700377529,0.78979300926637,0.161659964477767
"MSY2","short term","R: no AC",0.002,0.886267766099094,1.13144291830018,0.729719373125764,0.153746769730209
"MSY2","short term","R: +20%",0.008,0.8018029330136,0.977113595946889,0.7632044047465,0.159250647401208
"MSY2","short term","R: -20%",0.001,0.933488834158289,1.18386633197845,0.780266143590925,0.157591604141131
"MSY2","short term","R: h -20%",0.004,0.891697158051931,0.979874105704562,0.898586684692772,0.156626506018481
"MSY2","short term","R: failure",0.352,0.424754697152599,0.643327782381439,0.610739982706873,0.253538332700457
"MSY2","short term","Catch: +10%",0.008,0.89689869286987,1.0104980427162,0.863914225542028,0.160839929900921
"MSY2","short term","Catch: -10%",0.002,0.821525555433827,1.12758154698259,0.672506085772524,0.152854401991371
"MSY2","short term","Uncertainty: index +20%",0.003,0.862418605645728,1.06633310895832,0.766861008239865,0.169185051107627
