"file","MP","Ftrgt","Btrigger","period","risk","SSB","Fbar","Catch","Fbar.1","SSB_rel","Catch_rel","Fbar_rel","ICV"
"mp_0.05_3000.rds","ICES_SAM",0.05,3000,"all",0.126857142857143,10352.3893310728,0.0472748511222382,556.999999998322,0.0472748511222382,2.01903300321393,0.46654928826632,0.202987310588813,0.0915087055164973
"mp_0.05_4000.rds","ICES_SAM",0.05,4000,"long-term",0,12657.8137799714,0.0486835764027366,696.999999986296,0.0486835764027366,2.42705756620859,0.577743535312962,0.20847461845985,0.068347996181402
"mp_0.05_4000.rds","ICES_SAM",0.05,4000,"short-term",0.126857142857143,8230.47475469301,0.0458042194845629,421.999999999435,0.0458042194845629,1.61694851049924,0.352244712650428,0.196815036757447,0.136609105921322
"mp_0.05_4000.rds","ICES_SAM",0.05,4000,"all",0.126857142857143,10355.7396535565,0.0472468703935386,556.999999999915,0.0472468703935386,2.01950515865374,0.467009920663254,0.202696460611879,0.0918701306885666
"mp_0.05_5000.rds","ICES_SAM",0.05,5000,"long-term",0,12668.854997872,0.0486746914930601,696.99999999985,0.0486746914930601,2.42994543665504,0.578510511772606,0.208510493623538,0.0685279187798443
"mp_0.05_5000.rds","ICES_SAM",0.05,5000,"short-term",0.126857142857143,8275.00639401428,0.045025374546134,426.999999995639,0.045025374546134,1.6261720143903,0.356132623386322,0.191834012530303,0.150277462676066
"mp_0.05_5000.rds","ICES_SAM",0.05,5000,"all",0.126857142857143,10378.6942469573,0.0468815531203591,559.99999996797,0.0468815531203591,2.02534019574099,0.468722714555811,0.200467698548369,0.0954545454560954
"mp_0.05_6000.rds","ICES_SAM",0.05,6000,"long-term",0,12689.7578395799,0.0486644832341656,698.999999999721,0.0486644832341656,2.4343869481721,0.579665233757312,0.208502019181348,0.069099884984508
"mp_0.05_6000.rds","ICES_SAM",0.05,6000,"short-term",0.126857142857143,8358.976329432,0.0437368926713066,433.999999995639,0.0437368926713066,1.64058634698367,0.360813259637639,0.182973420304351,0.16228409111005
"mp_0.05_6000.rds","ICES_SAM",0.05,6000,"all",0.126857142857143,10426.5566896326,0.0463537420282339,562.999999999987,0.0463537420282339,2.03562894794821,0.471967380364929,0.196606296646172,0.098204225119512
"mp_0.05_6500.rds","ICES_SAM",0.05,6500,"long-term",0,12704.0775229343,0.0486473251786113,699.999999994367,0.0486473251786113,2.4373458879005,0.58049808609604,0.208337091676805,0.069605890178743
"mp_0.05_6500.rds","ICES_SAM",0.05,6500,"short-term",0.126857142857143,8403.81778973266,0.0429620970649238,434.999999999776,0.0429620970649238,1.64836298770871,0.36081325963927,0.177879256511102,0.17006802720969
"mp_0.05_6500.rds","ICES_SAM",0.05,6500,"all",0.126857142857143,10454.8117037691,0.0460576594933772,565.99999998957,0.0460576594933772,2.04187093243321,0.473656726378452,0.194387417245721,0.100253826778869
"mp_0.05_7000.rds","ICES_SAM",0.05,7000,"long-term",0,12721.607064958,0.0485778131462655,700.999999999892,0.0485778131462655,2.44088290423562,0.581631446031981,0.2080427828674,0.0702179176736368
"mp_0.05_7000.rds","ICES_SAM",0.05,7000,"short-term",0.126857142857143,8448.58760638575,0.0420955628061691,432.999999984643,0.0420955628061691,1.65657484963081,0.357555739632178,0.171999683590694,0.177777777777749
