"MP","period","OM","risk","catch","SSB","Fbar","ICV"
"ICES MSY","short term","M: +50%",0,0.896270728257602,1.62820520110653,0.505771693344469,0.115411985072847
"ICES MSY","short term","M: Gislason",0.027,0.897631144512388,0.981662656269225,0.942044594798564,0.116523580344426
"ICES MSY","short term","R: no AC",0.002,0.87581270186599,1.05396653791889,0.826147645303377,0.111372488071071
"ICES MSY","short term","R: +20%",0.012,0.780774262967105,0.919426356405153,0.85915507591044,0.120042873917514
"ICES MSY","short term","R: -20%",0.011,1.02469176222884,1.08766675477594,0.946873802306289,0.113576389716315
"ICES MSY","short term","R: failure",0.759,0.537189761667828,0.543173613331973,0.881322897171459,0.204773947022711
"ICES MSY","short term","Catch: +10%",0.031,0.92255054516693,0.932317649199574,1.01718601750462,0.0913922020421637
"ICES MSY","short term","Catch: -20%",0.004,0.81777771497088,1.05789834349033,0.767782095480458,0.113811460515909
"ICES MSY","short term","Uncertainty: index +20%",0.013,0.873662106645433,0.99400496868408,0.888822954297752,0.122768214910292
"ICES MSY","all years","Reference set ",0.126571428571429,0.909594052880361,1.06771064701476,0.824268966979763,0.110057620402561
"ICES MSY","all years","Baseline",0.014,0.928630367074934,1.02150983392255,0.913047605568536,0.108976818785984
"ICES MSY","all years","Catch: no discards",0.005,0.917546924155459,1.59246964162432,0.513548079216464,0.099558217617315
"ICES MSY","all years","Catch: 100% discards",0.026,0.89427431617095,0.886440952372009,1.04352373383427,0.11079406090371
"ICES MSY","all years","Catch: no migration",0.008,0.931130992618532,1.17275538162424,0.773789062848794,0.116089613022202
"ICES MSY","all years","M: -50%",0.872,0.838483708842628,0.510091487503342,1.78322962295872,0.107142857144092
"ICES MSY","all years","M: +50%",0,0.90000908362159,1.62059911654303,0.505000627675423,0.114492454647171
"ICES MSY","all years","M: Gislason",0.029,0.940160038534166,0.992172828996177,0.959395739277611,0.112261107877185
"ICES MSY","all years","R: no AC",0.002,0.928892259555976,1.0851806284196,0.849186932675198,0.104113843300935
"ICES MSY","all years","R: +20%",0.012,0.877438320587824,0.988563723265371,0.887888815807342,0.110661251961725
"ICES MSY","all years","R: -20%",0.013,1.02254581488728,1.05293885562112,0.963725585061091,0.111686080242442
"ICES MSY","all years","R: failure",0.759,0.732077213326335,0.726756311828819,0.915068644771165,0.156229990941603
"ICES MSY","all years","Catch: +10%",0.031,0.950950810213389,0.941738773085374,1.02889160022486,0.101805188464136
"ICES MSY","all years","Catch: -20%",0.005,0.899480535146637,1.11174969780486,0.797240145990644,0.105103222326249
"ICES MSY","all years","Uncertainty: index +20%",0.015,0.925298957914624,1.02037263904764,0.911536020708838,0.117448530289321
"rfb","long term","Reference set ",0.00928571428571429,0.633295612158316,1.80083837342761,0.302389560951229,2.42701205597218e-05
"rfb","long term","Baseline",0.001,0.645064680644156,1.80284540713931,0.327385496090559,6.39440600658236e-06
"rfb","long term","Catch: no discards",0.007,0.767152120727289,2.38624932856587,0.262838423009281,0.000146989098889105
"rfb","long term","Catch: 100% discards",0.004,0.538979753246399,1.71539121943587,0.288490095776511,1.33392804435584e-06
"rfb","long term","Catch: no migration",0.005,0.642852457222625,2.03058377425462,0.288478260787248,2.56655549688567e-05
"rfb","long term","M: -50%",0.041,0.666791494245026,1.24689993524099,0.518242968907697,2.16062457416566e-05
"rfb","long term","M: +50%",0,0.523719218039993,2.31191226378554,0.18598616650405,7.03375941185636e-05
"rfb","long term","M: Gislason",0.004,0.650551657380545,1.70848800271053,0.329994534453456,4.03506699543366e-05
"rfb","long term","R: no AC",0,0.659120272285279,1.86759800111384,0.318812189477764,4.74488825447095e-06
"rfb","long term","R: +20%",0.001,0.609656157200337,1.87477981371445,0.296988398137049,3.40032862803374e-05
"rfb","long term","R: -20%",0.004,0.67434996957909,1.70850040940019,0.356676512443381,6.18388875751053e-05
"rfb","long term","R: failure",0.03,0.0608359888110855,1.86982407406746,0.0281044994384724,6.14678009460135e-05
"rfb","long term","Catch: +10%",0.003,0.662289566945208,1.69478304172281,0.358721245051905,6.9187859471076e-05
"rfb","long term","Catch: -20%",0.001,0.618039400815187,1.92269453182414,0.293673115773953,2.42835582921486e-05
"rfb","long term","Uncertainty: index +20%",0.002,0.628565156622546,1.80673008345813,0.320219139438967,9.38441327402728e-06
"rfb","short term","Reference set ",0.126571428571429,0.694082511089262,1.19518420363092,0.537808123269062,6.83649252564145e-06
"rfb","short term","Baseline",0.008,0.70032874114911,1.12769207329174,0.571041508847302,8.99143993786655e-05
"rfb","short term","Catch: no discards",0.006,0.725979438263281,1.82389651052233,0.328107769943418,3.91599105848406e-05
